inventory_id,relative_path,sha256,size_bytes,extension,detected_type,text_or_binary,tracked_status,ignored_status,symlink_target,classification,likely_role,review_level,audit_status,per_file_report,notes
F0042,corpus/ground_truth_sources/member_pointers.cpp,8e84a7254ebeda7ec4db40335350606cf26227868e20be7db4f4382cdd3e9f69,299,.cpp,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0043,corpus/ground_truth_sources/multiple_inheritance.cpp,2fc99918de8375a035774b6cff12866defb77d2095bf1a6005b6419c4afc4410,272,.cpp,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0044,corpus/ground_truth_sources/static_initializers.cpp,5566d58941846d63fafa6e6047f5f0a70dd19ff484aea58f1eac88cfa1c3156c,143,.cpp,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0045,corpus/ground_truth_sources/structs.c,0b29f69d01886989d3d34fb430acb259ca55c604b8b59c968e5d341972102280,124,.c,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0046,corpus/ground_truth_sources/switch_dense.c,2a696a875c034a89e16a9b28359f6603942c536954321bc7403a9b780d24546f,248,.c,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0047,corpus/ground_truth_sources/tail_calls.c,874edb70e2470cafdd6bed6a7a05519da95c926d1b0777622d1fba726194ddb3,140,.c,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0048,corpus/ground_truth_sources/templates.cpp,cd18fc097a4bbbacacff6685edb8c5e6a0dfe7d8e27a68eb0b0febad6508194b,409,.cpp,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0049,corpus/ground_truth_sources/tls.c,9f917229ae42021f4045f2f56af5ac3116987dc442e304c1b9b6b441200ba54b,240,.c,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0050,corpus/ground_truth_sources/unions.c,2906ac1f944da7f6020756df9f20451048f8e2ed81ed5ac6ea06554afe1c7f60,192,.c,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0051,corpus/ground_truth_sources/varargs.c,3326edfa00e59cd41f5409c8ef01d1d5b96c0e1a13471972a2a107725032cdbb,244,.c,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0052,corpus/ground_truth_sources/vectorizable.c,4e71d283a0479bd5264da8f235bdb4f434a1b841289d9eac335c8b997be10f43,259,.c,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0053,corpus/ground_truth_sources/virtual_inheritance.cpp,c8e83579cd4d6159e716c23270110d997349e3b1a609bf1d50c0b93a2e64d1d2,441,.cpp,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0054,dist/x86decomp_toolkit-0.7.11-py3-none-any.whl,ccf1aa7216ab97232450bcd04f82fa60b5596908b203dbe6f27c104855a3d96e,369957,.whl,binary,binary,n/a (not a git repository),n/a,,generated artifact,,limited,Audited — generated file,project-audit/files/_group_dist_and_caches.md,
F0055,dist/x86decomp_toolkit-0.7.11.tar.gz,2272d6d9eb65cbd97e14fcb0281208cdaf015e0f8f71d3350cf7a7ef8e1510a9,529267,.gz,binary,binary,n/a (not a git repository),n/a,,generated artifact,,limited,Audited — generated file,project-audit/files/_group_dist_and_caches.md,
F0056,docs/ARCHITECTURE_MAP.md,0ee14319cb33f5fa3a914b53703c8bc5de19b4869c17c35c490d37f9f4fbae9e,3586,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0057,docs/ARCHITECTURE_MAP_ASCII.txt,c7939f8da9a7e3a3293b7b4819493d707ddac7201c49e962df2433dc025c9128,6300,.txt,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0058,docs/COMMAND_REFERENCE_0.7.11.json,1df25634770729c41c7df804f9af9b991c70fb2bbe4fa3650d33949c58c179f3,27934,.json,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0059,docs/COMMAND_REFERENCE_0.7.11.md,2ce27d17ff8261b9e25a5f15905813352ec68f8c2d28d4ebff4c991de47a68df,571,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0060,docs/architecture.md,6753571b1d85da4e562ec6ef2534a325e20c2640a3e989296d716f9a3102439f,2644,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0061,docs/build-and-verification.md,398c7081166cb31dfd6c347e2b485166ca9dee37c927977dc90e5849b5b09479,1064,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0062,docs/contracts.md,ca03911160dff537c0320208dc20b8dff7d8b44617d2344f40cedd72f28707cd,4497,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0063,docs/evidence-and-claims.md,a573ac934a840cec2976052600e8631ce736442ac86650cce2116d0011a28f16,2188,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0064,docs/ghidra-integration.md,c60e3ad7b722d1063d4a11e59e5225ddc5e1468781917992db958aba7387006a,1690,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0065,docs/guardrails.md,c900c3cf8ad5d8631d14f8325e4c130d75c4c16a73fb53b6ce6ae0dc5d09134f,2367,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0066,docs/local-llm.md,d130229c46928ac6a42c5b82610d3c50208676ec31d5c1199bd8bf9dffb68533,9122,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0067,docs/operations-and-recovery.md,7430e41f4663a97f752ccc7a8686c1a39693605ea71ad88725c9fa33fe755238,4095,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0068,docs/project-memory.md,9053e590e5f0394ff3d07534b017e51b593f5d71d225d2b6e71d70dfd51284ea,1179,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0069,docs/roadmap.md,910ad2690ff63134b2e0a0f6de75d2eb480dfda333aadd61d7ff880c078c27a5,379,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0070,docs/source-basis.md,b0950b1b47308b283028c141a84c8cbf41f377d68b269d418c239edd7e8e9ee4,1097,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0071,docs/supported-scope.md,da10c7f01980d8393fcd41223feb4ec6a7c2f8fdb259f56336b4c5c384848ca4,537,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0072,docs/target-packs-and-templates.md,7e65033dff4a1d532861775161d621e8f73ec238363b43fce2b7101a3ba6a2d0,3822,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0073,docs/test-bundle.md,a46690243ada69526ce92db7b4f667a8aea677db98a286c5a56ff7b18af9f113,4551,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/_group_docs.md,
F0074,examples/abi/stdcall-two-ints.json,f2c7a723de83de7169612e1cdc305a4bd8779e9ad82c7ff3a2ce90d400ac3ace,275,.json,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0075,examples/benchmarks/bounded-demo.json,980ad9dc8352019f4dca1f06e25a8654ec87248befc178c35490ecc3d129a51a,1153,.json,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0076,examples/compiler-profiles/gcc-i686-object.json,dc5dee89f0aff786350b51e24e7b77067de8d2a0a332fc6e880041a330729572,649,.json,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0077,examples/contracts/command-surface.json,85a67b1da249fa898cfa7b65c7cbd1c1896297993cc547e8823ddd440a50d5e2,7977,.json,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0078,examples/contracts/public-surface.json,d04d7f8622da4eb0c103fd7515720a32265ae6336e410bfa5358398f9d975fda,43011,.json,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0079,examples/integration/bounded-demo.json,e1b589e23a5fa0a7c1310c69760ef7729fa912c2a5584985a7cbb487f57eab26,891,.json,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0080,examples/integration/candidate.py,2b348feb64cd2832d57b07c74cd35c58a2b9c36916263a04b3d80bc0c377b8b3,240,.py,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0081,examples/integration/candidate_mismatch.py,108e2316477fc03c410ec8ca790b035729fcdc2199f8ec5cd0ca749e09e21347,224,.py,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0082,examples/integration/target.py,2b348feb64cd2832d57b07c74cd35c58a2b9c36916263a04b3d80bc0c377b8b3,240,.py,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0083,examples/integration/__pycache__/candidate.cpython-310.pyc,51eff08f7043a66821e7684f3d0ca7fb4682b19778097f69478c3487a3e5e842,412,.pyc,binary,binary,n/a (not a git repository),n/a,,example or sample,,full,Audited — generated file,project-audit/files/_group_generated_caches.md,
F0084,examples/integration/__pycache__/candidate_mismatch.cpython-310.pyc,28d5e592230b284373ffcef170302795bb7adefc0e03aa7ae91ef83684dbcd6c,447,.pyc,binary,binary,n/a (not a git repository),n/a,,example or sample,,full,Audited — generated file,project-audit/files/_group_generated_caches.md,
F0085,examples/integration/__pycache__/target.cpython-310.pyc,2f728c0c29569ea4b2514dd9605c98d83107559dafb8961fec42ca38a50e3127,409,.pyc,binary,binary,n/a (not a git repository),n/a,,example or sample,,full,Audited — generated file,project-audit/files/_group_generated_caches.md,
F0086,examples/labs/gcc-optimization-matrix.json,f4f19ea47da16374312c4eff46d2914e3d0c425a229f92a95b2fe99221acbd78,376,.json,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0087,examples/local-llm/add-two-ints-job.json,aac7785ac0e8ccc9e408fe583c7a96ca8a4bb01abd51eb17c1553f127a8a86b5,741,.json,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0088,examples/local-llm/lm-studio-profile.json,f8135459f4354bf16ab4797924efb4a02f44b494ac36ee4873464609307c202e,498,.json,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0089,examples/local-llm/ollama-profile.json,f10e53e8646689be08c75c7e06fa238ddf78159aa672da8e35aa3c3df415e5bb,469,.json,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0090,examples/release/release-gate-policy.json,7ad41612264a71c3bd1d1ea44b5ad0f9145710ef926492975796dd9264948026,425,.json,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0091,examples/release/target-decisions.json,91b5bfcd613ac3d76fc020e5bb415d0ae11594886c6cac4317cc06e7ea5df1cb,351,.json,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0092,examples/relink/lld-link-x64.json,6addc382de2d64d223f4e24e47207b5741d2583d1717f4aec04107123a6013ef,342,.json,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0093,examples/sample_source/add.c,860aaedc4520b18df5ce99de71a36487eb333dcdb09f65fce222677c8fe8cd97,58,.c,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0094,examples/symbolic/symbolic-alias-harness.json,e5bbc6d9470e269f41051e95a444a9218f9919140bc74070dd223caf4eb7c130,532,.json,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0095,examples/test-bundle/x86decomp-test-bundle.json,6d88af2c016e6e88a5ba66fab7c88c9d7b56f70c1f5e71d2cb494aab69da6a68,593,.json,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0096,examples/validators/add_stack_candidate.bin,6d1e1d30f2068501de61e0022c4352fda2a7650f29eb96f01ad04fa160305e21,9,.bin,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — limited binary review,project-audit/files/_group_schemas_examples_corpus.md,
F0097,examples/validators/add_stack_harness.json,beeaeeecbe1136402ef0b3c1c3f799256a2613f87bb9457f97b71fe605ec0d0f,346,.json,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0098,examples/validators/add_stack_target.bin,6d1e1d30f2068501de61e0022c4352fda2a7650f29eb96f01ad04fa160305e21,9,.bin,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — limited binary review,project-audit/files/_group_schemas_examples_corpus.md,
F0099,examples/validators/sub_stack_candidate.bin,fe10777e0899cf9cabd2bc8dc3367d711f6af675bdda9c5e28144539792f922f,9,.bin,text,text,n/a (not a git repository),n/a,,example or sample,,full,Audited — limited binary review,project-audit/files/_group_schemas_examples_corpus.md,
F0100,ghidra_scripts/ExportFunctionArtifacts.java,2c1a21482d49c2bdd2fcf86e6df9d3c401fc4e5e4c4a36ea358aa9e2ddf6ca49,24555,.java,text,text,n/a (not a git repository),n/a,,first-party source,,full,Audited — complete,project-audit/files/,
F0101,ghidra_scripts/ExportProjectManifest.java,136d6c725b1dcf122e4cc650f2a008c2dbbaf5322c3e943657074cb3c73d2653,15263,.java,text,text,n/a (not a git repository),n/a,,first-party source,,full,Audited — complete,project-audit/files/,
F0102,ghidra_scripts/QueryAnalysis.java,5f6b639103a6d104f63db3c1d6cf070d486a461d3a2be9db83f09bcd5d4a6150,8571,.java,text,text,n/a (not a git repository),n/a,,first-party source,,full,Audited — complete,project-audit/files/,
F0103,schemas/abi-contract.schema.json,536e89f5ab760329f3799138b17c8a321170fc1fc729528d97b7f75d4af96c76,919,.json,text,text,n/a (not a git repository),n/a,,configuration (schema),,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0104,schemas/benchmark-corpus.schema.json,0081dd4d038287641f14ccd228dd0e824bff8bd3745f8251aaa0a94c1c61e36c,1048,.json,text,text,n/a (not a git repository),n/a,,configuration (schema),,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0105,schemas/claim.schema.json,362341adcb81640a7839c77d37d7203b911e7e79655be6c0ab4115f460609532,1305,.json,text,text,n/a (not a git repository),n/a,,configuration (schema),,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0106,schemas/coff-archive.schema.json,5f5a43f1ce6ae1221df24107f7b9db057156731736ff4aad5c81c93a73abaab3,2079,.json,text,text,n/a (not a git repository),n/a,,configuration (schema),,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0107,schemas/comdat-resolution.schema.json,01fd177dfa983202ca8770e7985aa623e166fd22c20fdecc1d3d37f9cbfe0aae,579,.json,text,text,n/a (not a git repository),n/a,,configuration (schema),,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0108,schemas/compiler-ground-truth-comparison.schema.json,1ea55d940c62d4e60487f74ac4d9756e4ff4c7cb2c39c9dd629b1d4150646dfb,708,.json,text,text,n/a (not a git repository),n/a,,configuration (schema),,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0109,schemas/compiler-ground-truth.schema.json,1f8d15358ce71168a0f7c4d61ba7ad9db1ef12b534b27444bdda1f77f96392a2,1514,.json,text,text,n/a (not a git repository),n/a,,configuration (schema),,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0110,schemas/compiler-lab.schema.json,37bc55f945daffc31844a78c2b4788191f501589303826a6cee207c5c4717506,2141,.json,text,text,n/a (not a git repository),n/a,,configuration (schema),,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0111,schemas/compiler-profile.schema.json,6903f160acf5cfb8329567efbdd2da82b9f171705971e9842afcae21a4a4f844,1869,.json,text,text,n/a (not a git repository),n/a,,configuration (schema),,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0112,schemas/convergence-report.schema.json,ace195921a16f72366e2920e6e2ce4e464b51f665d4d12ff5117dbea49119185,1059,.json,text,text,n/a (not a git repository),n/a,,configuration (schema),,full,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
