inventory_id,relative_path,sha256,assigned_batch,review_started,review_completed,reviewer_status,read_completely,cross_references_checked,runtime_checked,tests_checked,documentation_checked,findings_count,open_questions,final_status
F0043,corpus/ground_truth_sources/tls.c,9f917229ae42021f4045f2f56af5ac3116987dc442e304c1b9b6b441200ba54b,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0044,corpus/ground_truth_sources/unions.c,2906ac1f944da7f6020756df9f20451048f8e2ed81ed5ac6ea06554afe1c7f60,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0045,corpus/ground_truth_sources/varargs.c,3326edfa00e59cd41f5409c8ef01d1d5b96c0e1a13471972a2a107725032cdbb,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0046,corpus/ground_truth_sources/vectorizable.c,4e71d283a0479bd5264da8f235bdb4f434a1b841289d9eac335c8b997be10f43,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0047,corpus/ground_truth_sources/virtual_inheritance.cpp,c8e83579cd4d6159e716c23270110d997349e3b1a609bf1d50c0b93a2e64d1d2,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0048,docs/ARCHITECTURE_MAP.md,0ee14319cb33f5fa3a914b53703c8bc5de19b4869c17c35c490d37f9f4fbae9e,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,1,See linked finding verification-needed fields,Audited — complete
F0049,docs/ARCHITECTURE_MAP_ASCII.txt,c7939f8da9a7e3a3293b7b4819493d707ddac7201c49e962df2433dc025c9128,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0050,docs/COMMAND_REFERENCE_0.7.11.json,1df25634770729c41c7df804f9af9b991c70fb2bbe4fa3650d33949c58c179f3,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,1,See linked finding verification-needed fields,Audited — complete
F0051,docs/COMMAND_REFERENCE_0.7.11.md,2ce27d17ff8261b9e25a5f15905813352ec68f8c2d28d4ebff4c991de47a68df,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,1,See linked finding verification-needed fields,Audited — complete
F0052,docs/adapter-capabilities.md,7ab50fd37db0daf4b5776422645a7984784998c6c8241302e93d9867405b8cc3,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0053,docs/architecture.md,6753571b1d85da4e562ec6ef2534a325e20c2640a3e989296d716f9a3102439f,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0054,docs/build-and-verification.md,398c7081166cb31dfd6c347e2b485166ca9dee37c927977dc90e5849b5b09479,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,1,See linked finding verification-needed fields,Audited — complete
F0055,docs/contracts.md,ca03911160dff537c0320208dc20b8dff7d8b44617d2344f40cedd72f28707cd,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0056,docs/evidence-and-claims.md,a573ac934a840cec2976052600e8631ce736442ac86650cce2116d0011a28f16,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0057,docs/ghidra-integration.md,c60e3ad7b722d1063d4a11e59e5225ddc5e1468781917992db958aba7387006a,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0058,docs/guardrails.md,c900c3cf8ad5d8631d14f8325e4c130d75c4c16a73fb53b6ce6ae0dc5d09134f,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0059,docs/index.md,2b1392f95380c4325b5527a84b1f220c26864189fb71ef15b9abeb7a2da5db82,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0060,docs/local-llm.md,d130229c46928ac6a42c5b82610d3c50208676ec31d5c1199bd8bf9dffb68533,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0061,docs/operations-and-recovery.md,7430e41f4663a97f752ccc7a8686c1a39693605ea71ad88725c9fa33fe755238,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0062,docs/project-memory.md,9053e590e5f0394ff3d07534b017e51b593f5d71d225d2b6e71d70dfd51284ea,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0063,docs/roadmap.md,910ad2690ff63134b2e0a0f6de75d2eb480dfda333aadd61d7ff880c078c27a5,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0064,docs/source-basis.md,b0950b1b47308b283028c141a84c8cbf41f377d68b269d418c239edd7e8e9ee4,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0065,docs/supported-scope.md,da10c7f01980d8393fcd41223feb4ec6a7c2f8fdb259f56336b4c5c384848ca4,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0066,docs/target-packs-and-templates.md,7e65033dff4a1d532861775161d621e8f73ec238363b43fce2b7101a3ba6a2d0,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0067,docs/test-bundle.md,a46690243ada69526ce92db7b4f667a8aea677db98a286c5a56ff7b18af9f113,docs,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0068,examples/abi/stdcall-two-ints.json,f2c7a723de83de7169612e1cdc305a4bd8779e9ad82c7ff3a2ce90d400ac3ace,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0069,examples/benchmarks/bounded-demo.json,980ad9dc8352019f4dca1f06e25a8654ec87248befc178c35490ecc3d129a51a,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0070,examples/compiler-profiles/gcc-i686-object.json,dc5dee89f0aff786350b51e24e7b77067de8d2a0a332fc6e880041a330729572,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0071,examples/contracts/command-surface.json,85a67b1da249fa898cfa7b65c7cbd1c1896297993cc547e8823ddd440a50d5e2,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0072,examples/contracts/public-surface.json,d04d7f8622da4eb0c103fd7515720a32265ae6336e410bfa5358398f9d975fda,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0073,examples/integration/bounded-demo.json,e1b589e23a5fa0a7c1310c69760ef7729fa912c2a5584985a7cbb487f57eab26,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0074,examples/integration/candidate.py,2b348feb64cd2832d57b07c74cd35c58a2b9c36916263a04b3d80bc0c377b8b3,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Yes — repository inventory reconciled,Yes,0,None specific,Audited — complete
F0075,examples/integration/candidate_mismatch.py,108e2316477fc03c410ec8ca790b035729fcdc2199f8ec5cd0ca749e09e21347,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Yes — repository inventory reconciled,Yes,0,None specific,Audited — complete
F0076,examples/integration/target.py,2b348feb64cd2832d57b07c74cd35c58a2b9c36916263a04b3d80bc0c377b8b3,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Yes — repository inventory reconciled,Yes,0,None specific,Audited — complete
F0077,examples/labs/gcc-optimization-matrix.json,f4f19ea47da16374312c4eff46d2914e3d0c425a229f92a95b2fe99221acbd78,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0078,examples/local-llm/add-two-ints-job.json,aac7785ac0e8ccc9e408fe583c7a96ca8a4bb01abd51eb17c1553f127a8a86b5,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0079,examples/local-llm/lm-studio-profile.json,f8135459f4354bf16ab4797924efb4a02f44b494ac36ee4873464609307c202e,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0080,examples/local-llm/ollama-profile.json,f10e53e8646689be08c75c7e06fa238ddf78159aa672da8e35aa3c3df415e5bb,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0081,examples/release/release-gate-policy.json,7ad41612264a71c3bd1d1ea44b5ad0f9145710ef926492975796dd9264948026,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0082,examples/release/target-decisions.json,91b5bfcd613ac3d76fc020e5bb415d0ae11594886c6cac4317cc06e7ea5df1cb,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0083,examples/relink/lld-link-x64.json,6addc382de2d64d223f4e24e47207b5741d2583d1717f4aec04107123a6013ef,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0084,examples/sample_source/add.c,860aaedc4520b18df5ce99de71a36487eb333dcdb09f65fce222677c8fe8cd97,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0085,examples/symbolic/symbolic-alias-harness.json,e5bbc6d9470e269f41051e95a444a9218f9919140bc74070dd223caf4eb7c130,examples,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
